iter	RMSE
0	11924.96126
1	11840.40275
2	11752.79932
3	11682.9766
4	11596.52972
5	11510.89779
6	11426.74247
7	11347.67439
8	11263.64058
9	11181.64442
10	11107.58318
11	11022.20585
12	10947.66234
13	10870.39444
14	10802.50818
15	10730.41399
16	10656.30393
17	10581.82866
18	10509.75765
19	10440.07844
20	10368.32241
21	10311.28154
22	10244.03398
23	10179.21616
24	10115.33058
25	10046.87716
26	9983.363255
27	9918.474584
28	9851.354056
29	9786.902512
30	9722.021498
31	9654.642186
32	9592.844753
33	9529.6861
34	9467.30361
35	9407.079904
36	9347.374732
37	9289.678117
38	9230.560356
39	9171.71117
40	9112.633684
41	9058.763631
42	9002.391508
43	8945.784475
44	8893.98035
45	8839.009073
46	8783.429936
47	8725.132185
48	8674.001032
49	8620.948358
50	8566.692236
51	8515.764251
52	8461.083994
53	8407.79357
54	8358.110318
55	8309.626279
56	8263.150573
57	8212.161454
58	8163.884698
59	8116.609669
60	8069.86699
61	8025.808131
62	7980.899449
63	7938.910848
64	7889.639111
65	7846.927177
66	7808.154861
67	7767.926592
68	7727.428613
69	7685.645298
70	7645.19978
71	7613.812957
72	7570.06537
73	7528.795989
74	7486.046557
75	7450.593985
76	7413.032924
77	7373.438315
78	7331.080635
79	7292.673426
80	7256.857024
81	7219.310631
82	7182.334828
83	7149.170322
84	7111.078505
85	7075.876308
86	7039.61628
87	7004.789311
88	6971.115311
89	6936.06454
90	6902.146206
91	6867.841909
92	6832.386699
93	6800.567717
94	6770.744644
95	6737.625387
96	6704.682393
97	6674.601572
98	6645.650074
99	6615.411675
100	6587.957008
101	6558.774845
102	6530.268632
103	6501.210568
104	6472.261086
105	6444.191672
106	6415.68342
107	6389.005212
108	6363.081704
109	6337.326883
110	6309.704796
111	6282.9899
112	6258.659334
113	6235.431354
114	6209.98328
115	6183.331322
116	6158.15816
117	6134.2083
118	6109.523575
119	6087.549632
120	6063.326938
121	6041.555203
122	6022.673948
123	6000.503753
124	5977.433195
125	5954.256382
126	5931.357491
127	5910.608584
128	5888.515938
129	5869.987801
130	5851.427128
131	5830.918944
132	5808.937789
133	5788.524459
134	5767.728007
135	5748.968306
136	5729.601435
137	5712.003763
138	5693.530139
139	5675.278921
140	5659.470657
141	5642.174721
142	5626.004414
143	5609.674858
144	5592.151616
145	5576.637898
146	5559.878306
147	5542.228921
148	5527.833942
149	5512.271444
150	5496.842528
151	5482.284496
152	5467.530439
153	5457.355321
154	5443.167582
155	5428.477059
156	5414.995264
157	5401.034846
158	5385.910875
159	5371.526526
160	5359.570218
161	5345.57681
162	5334.02887
163	5320.007937
164	5307.019997
165	5294.684427
166	5281.780711
167	5268.800079
168	5260.714224
169	5248.148481
170	5237.929142
171	5226.918391
172	5216.233372
173	5204.681016
174	5193.080627
175	5182.114473
176	5169.548493
177	5159.143225
178	5148.036176
179	5137.578821
180	5127.746795
181	5118.790407
182	5108.419329
183	5098.497899
184	5088.674052
185	5078.49756
186	5069.283981
187	5060.033973
188	5049.756404
189	5040.097154
190	5030.258822
191	5023.00947
192	5013.916242
193	5003.330256
194	4993.892424
195	4986.098818
196	4976.708985
197	4967.509707
198	4959.947693
199	4951.746636
200	4943.620919
201	4936.841188
202	4928.211343
203	4920.299077
204	4912.435269
205	4905.370852
206	4897.833454
207	4890.488583
208	4885.017341
209	4878.744235
210	4872.802446
211	4864.282486
212	4857.011923
213	4851.477975
214	4844.387543
215	4838.230685
216	4830.385812
217	4823.578568
218	4819.922429
219	4812.861354
220	4807.042821
221	4801.464374
222	4794.89015
223	4788.866414
224	4782.347775
225	4775.516203
226	4769.084713
227	4763.103598
228	4756.928212
229	4750.998312
230	4745.663436
231	4739.881158
232	4734.186793
233	4728.507921
234	4722.960931
235	4718.048314
236	4712.642505
237	4709.95391
238	4704.433026
239	4699.16182
240	4693.440356
241	4689.06555
242	4683.530769
243	4678.870621
244	4676.645715
245	4673.361938
246	4669.197436
247	4663.825535
248	4659.948903
249	4656.616069
250	4651.823831
251	4648.026614
252	4644.002812
253	4639.941312
254	4635.68865
255	4631.377206
256	4627.131798
257	4622.712005
258	4619.758861
259	4615.534509
260	4611.423769
261	4607.385918
262	4602.948808
263	4598.599823
264	4594.058112
265	4590.566832
266	4585.844847
267	4582.994786
268	4579.078268
269	4574.995877
270	4571.615548
271	4567.55873
272	4564.452349
273	4560.156379
274	4557.044762
275	4553.052947
276	4549.546336
277	4548.139021
278	4545.256431
279	4542.749753
280	4538.810902
281	4534.765923
282	4531.626539
283	4528.060916
284	4524.728955
285	4521.627019
286	4517.998811
287	4514.21306
288	4512.34364
289	4510.085725
290	4507.657931
291	4504.38366
292	4501.12118
293	4498.316617
294	4494.421324
295	4491.275582
296	4488.426693
297	4486.821763
298	4484.090856
299	4482.035224
300	4479.276769
301	4476.674686
302	4473.909132
303	4471.548417
304	4469.067367
305	4466.614127
306	4464.515823
307	4461.444185
308	4458.857431
309	4456.441948
310	4454.5208
311	4452.062485
312	4449.453508
313	4447.143004
314	4445.362263
315	4443.082445
316	4440.756721
317	4438.087588
318	4435.653247
319	4433.48848
320	4431.336546
321	4429.915706
322	4427.665633
323	4425.335511
324	4423.425344
325	4421.404423
326	4419.394453
327	4417.11567
328	4415.552275
329	4413.587761
330	4411.463956
331	4409.63304
332	4407.373709
333	4404.852977
334	4402.610886
335	4402.070037
336	4400.362257
337	4398.786511
338	4396.526329
339	4394.858759
340	4392.723605
341	4391.339808
342	4389.165085
343	4387.342828
344	4385.364475
345	4383.989391
346	4382.45248
347	4380.760721
348	4378.206865
349	4376.533246
350	4375.53116
351	4374.534661
352	4374.130583
353	4372.602792
354	4370.810893
355	4369.573337
356	4368.628773
357	4367.561258
358	4366.220627
359	4364.642059
360	4363.75084
361	4362.186763
362	4360.672597
363	4359.234844
364	4357.462323
365	4356.039454
366	4355.722419
367	4353.927158
368	4352.313554
369	4351.282963
370	4349.265172
371	4347.219127
372	4345.616963
373	4344.81092
374	4343.532717
375	4342.924113
376	4341.356017
377	4340.030651
378	4338.726876
379	4336.691298
380	4335.5625
381	4335.306194
382	4333.489226
383	4332.26995
384	4330.19307
385	4329.10307
386	4327.734223
387	4326.299789
388	4324.599519
389	4322.685348
390	4322.2097
391	4320.647058
392	4319.57343
393	4318.185783
394	4316.800315
395	4315.545607
396	4313.968299
397	4313.029592
398	4312.540707
399	4311.968774
400	4309.953943
401	4308.583699
402	4307.479305
403	4306.526862
404	4305.172668
405	4304.075404
406	4302.781677
407	4301.090442
408	4299.869521
409	4298.764327
410	4297.583933
411	4296.593547
412	4295.413222
413	4294.439007
414	4293.317659
415	4291.978811
416	4290.699841
417	4289.225185
418	4287.910719
419	4286.766717
420	4285.381261
421	4285.229737
422	4283.223322
423	4282.28504
424	4282.141243
425	4281.148868
426	4280.123415
427	4279.837013
428	4278.795603
429	4277.450742
430	4277.114674
431	4276.139811
432	4275.137306
433	4274.260737
434	4273.362131
435	4272.16687
436	4270.968905
437	4269.590097
438	4268.540761
439	4267.437452
440	4267.062196
441	4266.263142
442	4265.535384
443	4265.092208
444	4263.885349
445	4263.323611
446	4261.712229
447	4260.255611
448	4259.144215
449	4257.919097
450	4257.050129
451	4256.597227
452	4256.134887
453	4255.317056
454	4254.666463
455	4253.370429
456	4252.37319
457	4250.572698
458	4249.926992
459	4249.080745
460	4248.338412
461	4247.412757
462	4246.776556
463	4245.304625
464	4243.699136
465	4242.224903
466	4241.588355
467	4240.1453
468	4238.516742
469	4237.338554
470	4236.083832
471	4235.244186
472	4233.385073
473	4233.001706
474	4231.584494
475	4230.439721
476	4229.990506
477	4228.456673
478	4227.453532
479	4227.0899
480	4226.860729
481	4226.640422
482	4225.838939
483	4224.752569
484	4224.483523
485	4223.702666
486	4222.955959
487	4221.865954
488	4220.870297
489	4220.168925
490	4219.653231
491	4219.061109
492	4218.918035
493	4217.458802
494	4216.302785
495	4215.667443
496	4214.985346
497	4214.722407
498	4213.909828
499	4212.6615
500	4211.974302
501	4211.097888
502	4210.58414
503	4209.547406
504	4208.905559
505	4207.313916
506	4206.267724
507	4205.696064
508	4204.807476
509	4204.559761
510	4203.565844
511	4203.050895
512	4201.822201
513	4201.245732
514	4200.772406
515	4199.96041
516	4199.083281
517	4198.359236
518	4197.669208
519	4196.723712
520	4195.635421
521	4194.585188
522	4194.05471
523	4193.305301
524	4192.594104
525	4192.143195
526	4191.058226
527	4190.190387
528	4189.141829
529	4188.686734
530	4188.036512
531	4186.657096
532	4185.915549
533	4185.341767
534	4184.419458
535	4183.714184
536	4183.142648
537	4182.430504
538	4181.56489
539	4180.975562
540	4180.859254
541	4180.025313
542	4179.197796
543	4178.38101
544	4177.862015
545	4177.391677
546	4176.780612
547	4175.961952
548	4175.182404
549	4174.748809
550	4173.766634
551	4172.832058
552	4172.382305
553	4171.726402
554	4170.777524
555	4169.887671
556	4169.129804
557	4168.409082
558	4167.934463
559	4167.386026
560	4166.792639
561	4166.111631
562	4165.600051
563	4164.957513
564	4164.351519
565	4163.966567
566	4163.566247
567	4163.401637
568	4162.403376
569	4161.978012
570	4161.441797
571	4160.833067
572	4160.086906
573	4159.321151
574	4159.231678
575	4158.369229
576	4156.983572
577	4155.995143
578	4155.307948
579	4154.570358
580	4153.378697
581	4152.055715
582	4151.432571
583	4150.697081
584	4150.06984
585	4149.762685
586	4149.246929
587	4148.560682
588	4147.655941
589	4146.496751
590	4146.103571
591	4145.311612
592	4144.630156
593	4143.817466
594	4143.547102
595	4142.423708
596	4141.896415
597	4141.407076
598	4140.90007
599	4140.554605
600	4140.003794
601	4139.302757
602	4138.523798
603	4137.84864
604	4137.256288
605	4136.771938
606	4136.155854
607	4135.557566
608	4134.687739
609	4133.831574
610	4132.055714
611	4131.238705
612	4130.592655
613	4129.756993
614	4129.19106
615	4128.529291
616	4127.835369
617	4127.111103
618	4126.110297
619	4125.456595
620	4124.881238
621	4123.973802
622	4123.069087
623	4122.558168
624	4121.659875
625	4121.272619
626	4121.255484
627	4120.787803
628	4120.073391
629	4118.651249
630	4118.268798
631	4117.911844
632	4116.860925
633	4116.047002
634	4115.248675
635	4114.856194
636	4114.212491
637	4113.174743
638	4112.072965
639	4111.772776
640	4110.619382
641	4109.952472
642	4109.335739
643	4108.576403
644	4107.914147
645	4107.555658
646	4106.88542
647	4106.792319
648	4105.544961
649	4105.123112
650	4104.129059
651	4103.530086
652	4102.857122
653	4101.633125
654	4100.93218
655	4100.603687
656	4099.816231
657	4098.982012
658	4098.640834
659	4098.347835
660	4098.207715
661	4097.463139
662	4097.122763
663	4096.104055
664	4095.021209
665	4093.96536
666	4093.455985
667	4092.752764
668	4091.908346
669	4091.224105
670	4090.340663
671	4089.67791
672	4088.889371
673	4088.493567
674	4087.628647
675	4086.240022
676	4085.633617
677	4084.629327
678	4084.411171
679	4084.120123
680	4083.685903
681	4082.744779
682	4082.457041
683	4081.636791
684	4081.591163
685	4081.065621
686	4080.473338
687	4079.840139
688	4078.972847
689	4078.610404
690	4077.818172
691	4076.993451
692	4076.244724
693	4075.143344
694	4073.884613
695	4073.299634
696	4073.045979
697	4072.213466
698	4072.064633
699	4071.94532
700	4071.389416
701	4070.529263
702	4070.111345
703	4069.148603
704	4068.316824
705	4067.597303
706	4067.226171
707	4066.204952
708	4065.481361
709	4065.029726
710	4064.065676
711	4063.577869
712	4062.563796
713	4061.931763
714	4061.413733
715	4061.021213
716	4059.941249
717	4059.274698
718	4058.102474
719	4057.252857
720	4056.95288
721	4055.834635
722	4055.334959
723	4054.723835
724	4054.329683
725	4053.215948
726	4052.8361
727	4052.128453
728	4051.40741
729	4050.781686
730	4049.976728
731	4049.279412
732	4048.445058
733	4047.783851
734	4047.251007
735	4046.710577
736	4045.982501
737	4045.718124
738	4045.378009
739	4044.917523
740	4044.824074
741	4044.045214
742	4043.059141
743	4042.715815
744	4041.86266
745	4041.28534
746	4040.492792
747	4039.958541
748	4039.490282
749	4038.829259
750	4037.968906
751	4037.645534
752	4037.120277
753	4036.616484
754	4036.046207
755	4035.662767
756	4035.120113
757	4034.658778
758	4034.239097
759	4033.58377
760	4032.868629
761	4032.28328
762	4031.59312
763	4030.875251
764	4030.403322
765	4029.636799
766	4028.85569
767	4028.223168
768	4027.962386
769	4027.587663
770	4026.909184
771	4026.523228
772	4025.700598
773	4024.860698
774	4024.530389
775	4023.934407
776	4023.225838
777	4022.973533
778	4022.450635
