iter	Passed	Remaining
0	3	3783
1	8	4149
2	10	3627
3	11	2954
4	16	3232
5	19	3183
6	22	3211
7	25	3211
8	31	3512
9	35	3532
10	38	3506
11	40	3359
12	45	3456
13	52	3709
14	59	3927
15	64	3988
16	66	3846
17	70	3819
18	73	3811
19	77	3787
20	78	3679
21	80	3591
22	86	3656
23	87	3562
24	90	3532
25	95	3559
26	98	3538
27	101	3523
28	109	3656
29	111	3616
30	114	3589
31	116	3537
32	124	3645
33	127	3624
34	131	3636
35	134	3613
36	138	3609
37	145	3688
38	149	3673
39	151	3631
40	153	3582
41	156	3581
42	160	3573
43	163	3561
44	171	3631
45	174	3608
46	176	3585
47	180	3579
48	182	3536
49	185	3525
50	189	3517
51	195	3565
52	197	3534
53	200	3516
54	204	3513
55	207	3500
56	211	3491
57	214	3477
58	221	3536
59	224	3521
60	228	3521
61	232	3511
62	235	3502
63	238	3491
64	244	3521
65	246	3483
66	249	3479
67	253	3476
68	256	3462
69	259	3447
70	262	3435
71	277	3580
72	282	3581
73	288	3614
74	292	3613
75	297	3611
76	299	3586
77	302	3579
78	305	3566
79	308	3545
80	309	3516
81	311	3488
82	314	3472
83	318	3469
84	321	3463
85	327	3482
86	331	3473
87	334	3468
88	338	3462
89	342	3461
90	346	3456
91	352	3475
92	355	3464
93	358	3457
94	362	3449
95	365	3439
96	368	3431
97	372	3425
98	377	3440
99	381	3433
100	384	3425
101	389	3428
102	392	3418
103	395	3403
104	397	3384
105	404	3409
106	406	3394
107	410	3388
108	414	3391
109	420	3398
110	422	3380
111	429	3406
112	433	3402
113	436	3395
114	440	3388
115	446	3405
116	453	3419
117	461	3450
118	465	3443
119	468	3433
120	471	3424
121	475	3420
122	477	3404
123	480	3397
124	485	3397
125	490	3399
126	492	3388
127	496	3384
128	499	3371
129	502	3364
130	505	3356
131	508	3341
132	511	3332
133	519	3356
134	521	3338
135	524	3330
136	527	3320
137	531	3319
138	533	3306
139	536	3297
140	541	3299
141	544	3291
142	548	3289
143	551	3277
144	557	3288
145	559	3274
146	563	3271
147	568	3273
148	570	3258
149	576	3269
150	584	3286
151	587	3279
152	591	3274
153	592	3256
154	596	3253
155	600	3248
156	603	3242
157	608	3241
158	611	3232
159	614	3226
160	621	3237
161	626	3241
162	630	3237
163	632	3225
164	635	3216
165	641	3223
166	645	3220
167	649	3215
168	650	3199
169	653	3191
170	655	3176
171	657	3163
172	660	3158
173	668	3173
174	671	3166
175	674	3159
176	681	3168
177	683	3156
178	686	3149
179	698	3182
180	702	3180
181	704	3167
182	709	3165
183	711	3155
184	718	3163
185	720	3154
186	724	3147
187	731	3157
188	734	3150
189	737	3145
190	740	3138
191	743	3127
192	746	3121
193	749	3114
194	755	3120
195	759	3114
196	764	3116
197	767	3109
198	771	3105
199	775	3100
200	782	3112
201	784	3100
202	788	3097
203	792	3092
204	795	3084
205	798	3078
206	802	3074
207	806	3070
208	810	3066
209	814	3063
210	816	3054
211	820	3051
212	824	3044
213	826	3034
214	829	3027
215	836	3034
216	840	3031
217	844	3028
218	845	3014
219	848	3008
220	851	3000
221	854	2993
222	858	2991
223	862	2987
224	865	2982
225	869	2977
226	873	2974
227	876	2968
228	880	2963
229	886	2968
230	890	2963
231	894	2959
232	897	2953
233	899	2945
234	903	2939
235	905	2931
236	912	2938
237	913	2925
238	917	2920
239	919	2912
240	924	2911
241	928	2906
242	931	2901
243	937	2906
244	939	2895
245	941	2884
246	944	2880
247	948	2876
248	951	2870
249	954	2862
250	957	2856
251	964	2861
252	967	2858
253	971	2852
254	975	2849
255	978	2843
256	981	2838
257	988	2843
258	990	2835
259	993	2826
260	997	2824
261	1002	2823
262	1009	2829
263	1013	2824
264	1016	2818
265	1020	2815
266	1023	2809
267	1025	2800
268	1028	2795
269	1035	2800
270	1038	2792
271	1041	2786
272	1045	2783
273	1048	2778
274	1055	2781
275	1058	2775
276	1061	2769
277	1062	2759
278	1070	2765
279	1071	2756
280	1075	2751
281	1079	2748
282	1083	2744
283	1086	2739
284	1089	2734
285	1093	2730
286	1097	2725
287	1100	2720
288	1102	2712
289	1104	2704
290	1106	2696
291	1110	2692
292	1113	2687
293	1117	2683
294	1120	2678
295	1124	2674
296	1128	2670
297	1129	2661
298	1137	2667
299	1140	2661
300	1144	2657
301	1154	2668
302	1157	2663
303	1162	2660
304	1165	2655
305	1168	2649
306	1172	2646
307	1179	2649
308	1182	2644
309	1186	2639
310	1191	2640
311	1194	2634
312	1199	2631
313	1206	2635
314	1209	2630
315	1212	2624
316	1219	2626
317	1223	2624
318	1227	2619
319	1231	2616
320	1235	2612
321	1236	2603
322	1240	2599
323	1247	2603
324	1252	2601
325	1257	2599
326	1260	2594
327	1267	2596
328	1270	2591
329	1273	2586
330	1277	2581
331	1280	2575
332	1283	2570
333	1287	2566
334	1295	2570
335	1296	2561
336	1299	2556
337	1302	2551
338	1306	2547
339	1309	2542
340	1312	2537
341	1320	2540
342	1323	2535
343	1326	2530
344	1330	2525
345	1333	2520
346	1337	2516
347	1344	2519
348	1347	2514
349	1350	2508
350	1352	2500
351	1353	2491
352	1355	2483
353	1358	2479
354	1361	2474
355	1364	2469
356	1366	2461
357	1368	2454
358	1371	2449
359	1378	2449
360	1379	2442
361	1382	2436
362	1386	2432
363	1394	2435
364	1397	2431
365	1401	2427
366	1405	2424
367	1409	2420
368	1412	2415
369	1420	2418
370	1424	2415
371	1428	2411
372	1435	2412
373	1437	2405
374	1441	2401
375	1443	2394
376	1446	2389
377	1449	2384
378	1452	2379
379	1458	2379
380	1461	2375
381	1463	2366
382	1466	2362
383	1469	2357
384	1472	2352
385	1477	2350
386	1484	2350
387	1487	2346
388	1491	2342
389	1494	2337
390	1496	2330
391	1500	2326
392	1503	2322
393	1506	2317
394	1510	2313
395	1515	2311
396	1518	2306
397	1521	2301
398	1523	2294
399	1525	2288
400	1528	2282
401	1536	2284
402	1539	2280
403	1543	2276
404	1546	2272
405	1549	2267
406	1553	2263
407	1561	2265
408	1564	2261
409	1568	2256
410	1576	2258
411	1579	2254
412	1583	2250
413	1587	2247
414	1591	2243
415	1594	2238
416	1601	2239
417	1604	2234
418	1608	2230
419	1612	2226
420	1615	2221
421	1617	2215
422	1620	2211
423	1629	2213
424	1631	2206
425	1640	2210
426	1644	2206
427	1649	2204
428	1653	2200
429	1656	2195
430	1657	2188
431	1660	2183
432	1664	2179
433	1667	2174
434	1674	2175
435	1678	2170
436	1682	2167
437	1686	2163
438	1689	2159
439	1692	2154
440	1694	2148
441	1700	2147
442	1704	2143
443	1706	2137
444	1709	2132
445	1712	2127
446	1715	2122
447	1719	2119
448	1726	2119
449	1730	2114
450	1734	2110
451	1735	2104
452	1738	2099
453	1742	2095
454	1746	2091
455	1752	2091
456	1756	2086
457	1759	2081
458	1761	2076
459	1765	2072
460	1769	2068
461	1776	2068
462	1779	2064
463	1783	2060
464	1786	2055
465	1789	2051
466	1793	2046
467	1797	2043
468	1801	2039
469	1805	2036
470	1809	2031
471	1812	2027
472	1815	2023
473	1817	2017
474	1820	2012
475	1824	2008
476	1827	2003
477	1830	1998
478	1833	1994
479	1835	1988
480	1837	1982
481	1838	1976
482	1842	1972
483	1849	1971
484	1851	1965
485	1854	1961
486	1865	1964
487	1868	1960
488	1877	1962
489	1881	1958
490	1884	1953
491	1890	1952
492	1892	1946
493	1896	1942
494	1900	1938
495	1904	1934
496	1907	1930
497	1909	1924
498	1913	1921
499	1917	1917
500	1922	1914
501	1925	1910
502	1929	1906
